time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,1,1,0.00,5.04,0,37.370023,-122.065358,47.00,142,0
1,1,1,5.50,4.73,0,37.369976,-122.065349,48.00,142,0
2,1,1,5.10,4.30,0,37.369939,-122.065358,48.00,142,0
3,1,1,4.90,4.15,0,37.369909,-122.065381,48.00,142,0
4,1,1,4.80,4.20,0,37.369885,-122.065417,48.00,144,0
5,1,1,4.80,4.38,0,37.369865,-122.065461,48.00,145,0
6,1,1,4.80,4.64,0,37.369847,-122.065510,48.00,146,0
7,1,1,4.90,4.89,1,37.369829,-122.065563,48.00,147,0
8,1,1,4.90,5.11,1,37.369810,-122.065615,48.00,147,0
9,1,1,5.00,5.35,1,37.369787,-122.065666,48.00,148,0
10,1,1,5.20,5.68,1,37.369764,-122.065724,48.00,148,0
11,1,1,5.40,5.97,1,37.369745,-122.065792,48.00,149,0
12,1,1,5.50,5.98,1,37.369740,-122.065860,47.00,149,0
13,1,1,5.60,5.89,2,37.369759,-122.065917,47.00,149,0
14,1,1,5.70,5.91,2,37.369797,-122.065963,47.00,148,0
15,1,1,5.80,6.14,2,37.369846,-122.066005,47.00,149,0
16,1,1,6.00,6.58,2,37.369898,-122.066047,47.00,149,0
17,1,1,6.20,7.04,2,37.369953,-122.066089,47.00,149,0
18,1,1,6.50,7.51,3,37.370011,-122.066133,47.00,150,0
19,1,1,6.90,7.98,3,37.370072,-122.066180,47.00,150,0
20,1,1,7.20,8.43,3,37.370137,-122.066230,47.00,149,0
21,1,1,7.20,8.84,3,37.370205,-122.066282,47.00,149,0
22,1,1,7.20,9.18,4,37.370276,-122.066336,47.00,150,0
23,1,1,7.20,9.51,4,37.370349,-122.066392,47.00,150,0
24,1,1,7.20,9.85,4,37.370425,-122.066450,46.00,149,0
25,1,1,7.80,10.22,5,37.370503,-122.066512,46.00,149,0
26,1,1,8.30,10.63,5,37.370585,-122.066579,46.00,149,0
27,1,1,8.90,11.13,6,37.370670,-122.066654,46.00,149,0
28,1,1,9.50,11.62,6,37.370759,-122.066731,46.00,149,0
29,1,1,10.00,11.95,6,37.370851,-122.066808,46.00,148,0
30,1,1,10.50,12.01,7,37.370945,-122.066879,46.00,148,0
31,1,1,10.90,11.90,7,37.371040,-122.066944,46.00,149,0
32,1,1,11.10,11.74,7,37.371137,-122.067005,46.00,149,0
33,1,1,11.30,11.56,8,37.371234,-122.067063,46.00,149,0
34,1,1,11.30,11.40,8,37.371331,-122.067118,46.00,149,0
35,1,1,11.40,11.27,8,37.371426,-122.067171,46.00,150,0
